,Judul,Url,Bahan,Step,clean
10,Resep Nasi Jagung,https://resepkoki.id/resep/resep-nasi-jagung/,"Beras jagung  -  150 gram Beras putih  -  100 gram Kacang panjang, potong potong  -  1 ikat Tauge  -  100 gram Kelapa setengah tua, parut  -  1/2 buah Kencur  -  1 ruas Cabai merah besar  -  2 buah Cabai rawit atau sesuai selera  -  5 buah Daun jeruk  -  4 lembar Terasi matang  -  1/2 sdt Garam  -  secukupnya Gula  -  secukupnya Tahu goreng - secukupnya, Tempe goreng - secukupnya, Ikan asin - secukupnya, Sambal terasi - secukupnya","Campur beras jagung dan beras putih, tambahkan 500 ml air masak sampai menjadi aron, tambahkan garam, aduk rata. Kukus selama 30 menit sampai matang. Atau bisa juga dimasak menggunakan rice cooker seperti memasak nasi biasa.Urap Sayur: Rebus secara terpisah kacang panjang dan taoge, angkat dan tiriskan.Haluskan bumbu urap, kencur, cabai merah, cabai rawit, daun jeruk, terasi, tambahkan garam dan gula sesuai selera.Campur bumbu dengan kelapa parut, aduk rata, kukus 15 menit. Setelah itu campur dengan sayuran yang sudah direbus.Sajikan nasi jagung hangat dengan urap sayur dan pelengkap tahu, tempe goreng, ikan asin serta sambal terasi.","['terasi', 'tauge', 'kelapa', 'daun jeruk', 'beras jagung', 'kacang', 'ikan asin', 'cabai merah', 'cabai rawit', 'tahu', 'beras', 'putih', 'kencur', 'sambal terasi', 'tempe']"
11,Resep Wajik Ketan Pandan,https://resepkoki.id/resep/resep-wajik-ketan-pandan/,"Beras ketan, rendam 1 jam  -  300 gram Santan, kekentalan sedang  -  300 ml Jus pandan  -  100 ml Garam  -  1/4 sdt ","Kukus beras ketan yang sudah direndam selama 20 menit, matikan api, perciki permukaannya dengan air panas supaya tidak kering.Rebus santan, jus pandan, gula pasir dan garam dalam wajan besar sampai mendidih.Masukkan ketan yang sudah dikukus ke dalam rebusan santan dan jus pandan. Masak sambil terus diaduk sampai santan meresap habis.Tuang adonan ke dalam loyang yang sudah dioles minyak goreng, tekan-tekan dan padatkan.Setelah dingin, potong-potong dan sajikan.","['beras ketan', 'jus', 'santan', 'pandan', 'kental']"
12,Resep Songkolo,https://resepkoki.id/resep/resep-songkolo/,"Beras ketan, rendam 1 jam  -  250 gram Santan  -  150 ml Pandan  -  1 lembar  Kelapa parut setengah tua  -  1/2 buah Bawang merah  -  4 butir Bawang putih  -  2 siung Lengkuas, geprek  -  2 ruas Serai  -  1 batang Daun jeruk  -  2 lembar Daun salam  -  2 lembar Ketumbar  -  1/2 sdt Gula merah  -  50 gram Air asam jawa  -  2 sdm","Nasi Ketan: Kukus beras ketan yang sudah direndam bersama daun pandan sampai setengah matang kurang lebih 10 menit, tambahkan santan dan garam, aduk rata, kukus kembali sampai matang 20 menit.Serundeng: Haluskan bawang merah, bawang putih dan ketumbar. Lalu tumis
bersama lengkuas, serai, daun jeruk, dan daun salam sampai harum.Masukkan air dan gula merah, masak sampai gula merah larut kemudian masukkan kelapa parut, aduk rata. Masak sampai gula terserap habis kedalam kelapa dan kelapa sedikit mengering.Sajikan hangat nasi ketan bersama serundeng dan pelengkap teri balado serta sambal terasi.","['kelapa', 'beras ketan', 'daun jeruk', 'asam jawa', 'lengkuas', 'daun salam', 'santan', 'pandan', 'bawang putih', 'bawang merah', 'serai', 'merah', 'ketumbar']"
13,Resep Sate Buntel,https://resepkoki.id/resep/resep-sate-buntel/, Daging sapi  -  450 gram Lemak sapi  -  50 gram Kecap manis  -  5 sdm Telur ayam  -  1 butir Tusuk sate bambu  -  20 buah Bawang merah  -  8 butir Bawang putih  -  3 siung Ketumbar bubuk  -  1 sdm Lengkuas  -  5 cm Jahe  -  3 cm Serai bagian putih  -  2 batang Jintan  -  1/2 sdt Garam  -  1 sdt Lada bubuk  -  1/4 sdt,"Giling atau cincang halus daging bersama lemak sapi.Campur daging giling, kecap manis, air asam jawa, telur dan bumbu halus.Siapkan 2 tusuk sate, ambil sedikit adonan, lilitkan daging bentuk agak gembung di tusuk sate. Lalu bungkus daging dengan alumunium foil.Siapkan bakaran sate. Lalu bakar sate tanpa olesan hingga bertekstur terbakar kemudian oles dengan bahan olesan sampai matang.Setelah matang, sajikan sate dengan sambal dan pelengkap.1. Jika tidak ada alumunium foil bisa menggunakan daun pisang.","['telur ayam', 'bawang merah', 'ketumbar bubuk', 'lada bubuk', 'lengkuas', 'kecap manis', 'jahe', 'lemak sapi', 'putih', 'jintan', 'bawang putih', 'sate', 'serai', 'daging sapi']"
14,Resep Japanese Souffle Pancake,https://resepkoki.id/resep/resep-japanese-souffle-pancake/,Kuning telur  -  2 butir Susu cair  -  4 sdm Tepung terigu  -  3 sdm Putih telur  -  3 butir Gula pasir (yang di blender)  -  2 sdm Cream of tartar  -  1/2 sdt Gula halus  -  secukupnya Cherry  -  secukupnya ,"Kocok kuning telur, pasta vanila dan susu cair dengan balon whisk hingga menjadi adonan kental. Tambahkan 3 sdm tepung terigu yang sudah disaring, kocok sampai tercampur rata dan bertekstur kental. Sisihkan dahulu.Kocok putih telur dengan mixer, beri gula secara bertahap sedikit demi sedikit sambil terus kocok hingga putih telur mengembang dan kaku. Tambahkan cream of tartar, kocok lagi sebentar agar rata.Ambil 2 sendok adonan putih telur, campurkan kedalam adonan kuning telur aduk dengan spatula hingga menyatu.Setelah adonan kuning menyatu campurkan kedalam sisa adonan putih telur aduk balik perlahan dengan spatula hingga semua adonan menyatu dan rata.Panaskan pan anti lengket bertutup dengan api kecil kemudian masukan adonan secukupnya lalu tutup panci masak hingga bagian bawah sudah kecoklatan, balik pancake dan tutup panci kembali masak hingga matang sempurna.Sajikan dengan topping gula halus dan cherry.1. Cream of tartar juga bisa diganti dengan 1/2 sdm air jeruk nipis.","['tepung terigu', 'buah cherry', 'putih telur', 'kuning telur', 'cream of tartar', 'susu']"
15,Resep Bolu Kukus Pisang Coklat,https://resepkoki.id/resep/resep-bolu-kukus-pisang-coklat/, Telur  -  4 butir Gula (blender halus)  -  180 gram Emulsifier  -  1 sdt Pasta coklat  -  1 sdt Tepung terigu  -  200 gram Coklat bubuk  -  20 gram Baking powder  -  1 sdt Pisang ambon tua  -  200 gram Krim kental manis putih  -  80 ml Garam  -  sejumput Minyak goreng  -  100 ml TOPPING: Pisang iris tipis  -  1/2 buah Choco chips  -  secukupnya,"Panaskan kukusan api kecil dan lapisi tutup kukusan dengan kain serbet.Oles dengan minyak area loyang tulban yang berukuran diameter atas 22 diameter bawah 18.5 tinggi 8.5.Blender pisang, pasta coklat, kental manis dan garam. Kemudian sisihkan.Mixer telur, gula dan emulsifier hingga pucat mengembang.Setelah itu masukkan terigu, coklat bubuk dan baking powder yang telah diayak bertahap lalu aduk balik perlahan atau gunakan mixer kecepatan paling rendah.Masukkan pisang yang telah dihaluskan aduk perlahan. Kemudian masukkan minyak goreng aduk rata perlahan hingga tidak ada minyak goreng yang mengendap.Tuang ke dalam loyang lalu beri topping selang seling pisang dan choco chip.","['pasta coklat', 'tepung terigu', 'susu kental manis', 'telur', 'pisang ambon', 'putih', 'choco chips', 'coklat bubuk', 'pisang', 'krim', 'emulsifier', 'baking powder']"
16,Resep Bolu Kukus Coklat,https://resepkoki.id/resep/resep-bolu-kukus-coklat/," Telur  -  6 butir Emulsifier  -  1 sdt Gula pasir (yang diblender)  -  180 gram Coklat bubuk  -  20 gram Baking powder  -  1/2 sdt Butter, lelehkan  -  80 gram Margarin, lelehkan  -  80 gram Pasta coklat  -  1 sdt Pasta coklat, untuk lapisan tengah  -  1 sdt ","Panaskan kukusan api kecil dan lapisi tutup kukusan dengan kain serbet.Oles loyang ukuran 18 x 6 cm dengan margarin dan beri kertas kue olesi dengan margarin lagi.Mixer telur, gula dan emulsifier hingga pucat mengembang.Setelah itu masukkan terigu, coklat bubuk dan baking powder yang telah diayak. Lalu aduk balik perlahan atau gunakan mixer kecepatan paling rendah.Kemudian tambahkan lelehan butter, margarin dan pasta coklat. Campur rata dengan menggunakan mixer.Bagi adonan menjadi 3 bagian, 2 adonan dengan ukuran yang sama untuk lapisan pertama dan ketiga, serta 1 adonan lagi untuk lapisan kedua.Untuk Lapisan Kedua: Tambahkan 1 sdt pasta coklat aduk rata perlahan. Sisihkan.","['pasta coklat', 'telur', 'butter', 'diblender', 'coklat bubuk', 'margarin', 'emulsifier', 'baking powder']"
17,Resep Puding Tiramisu,https://resepkoki.id/resep/resep-puding-tiramisu/,Agar-agar  -  1 bungkus Susu full cream  -  700 ml Gula pasir  -  2 sdm Keju spread  -  80 gram Tepung maizena  -  1 sdt Kuning telur  -  1 butir Garam  -   2: Agar-agar  -  1 bungkus Susu full cream  -  700 ml Kental manis putih  -  100 ml Gula pasir  -  2 sdm Pasta tiramisu  -  1 sdm Tepung maizena  -  1 sdt,"Campur semua bahan jadi satu kecuali kuning telur, kemudian masak sambil terus diaduk perlahan dengan balon wisk.Sesaat sebelum adonan mendidih, ambil 1 sendok sayur adonan lalu masukkan kedalam kuning telur. Aduk rata kemudian satukan kembali kedalam adonan. Masak hingga pinggiran berbuih. Biarkan uap panas hilang, lalu tuang dan saring adonan ke dalam cetakan. Biarkan hingga set.Masak semua bahan 2 kecuali kuning telur, masak sambil terus diaduk perlahan dengan balon wisk. Sesaat sebelum adonan mendidih, ambil 1 sendok sayur adonan dan masukkan kedalam kuning telur.Masak semua bahan 3 kecuali kuning telur, masak sambil terus diaduk perlahan dengan balon wisk. Sesaat sebelum adonan mendidih, ambil 1 sendok sayur adonan dan masukan kedalam kuning telur.Setelah uapnya hilang, simpan dalam kulkas. Sajikan setelah dingin.1. DCC bisa diganti dengan bubuk coklat atau pasta coklat.","['tepung maizena', 'pasta', 'keju', 'susu kental manis', 'tiramisu', 'kuning telur', 'putih', 'susu full cream']"
18,Resep Bolu Kukus Tiramisu,https://resepkoki.id/resep/resep-bolu-kukus-tiramisu/, Telur  -  4 butir Gula pasir  -  200 gram Emulsifier (SP)  -  1 sdt Minyak sayur  -  100 ml Essence vanilla  -  1 sdt Tepung terigu  -  200 gram Santan  -  100 ml Baking powder  -  1 sdt Pasta mocca  -  1 sdm Pasta coklat  -  1 sdm ,"Panaskan kukusan dan bungkus tutup kukusan dan serbet.Oles loyang dengan minyak goreng ukuran 20 x 20 cm lalu alasi dengan kertas kue.Blender gula pasir agar lebih halus. Lalu mixer telur, gula pasir, essens vanila dan SP hingga kental berjejak.Tambahkan tepung terigu dan baking powder yang telah diayak, lalu aduk balik adonan perlahan hingga tercampur rata.Masukan santan aduk rata.Masukan minyak aduk hingga tidak ada minyak yang mengendap di bagian bawah adonan.Bagi adonan menjadi 3 bagian putih, mocca dan coklat.","['pasta mocca', 'sayur', 'pasta coklat', 'tepung terigu', 'telur', 'essence vanilla', 'santan', 'sp', 'emulsifier', 'baking powder']"
19,Resep Tutut Kuah Kuning,https://resepkoki.id/resep/resep-tutut-kuah-kuning/," Tutut  -  1 kg Air  -  500 ml Santan encer  -  200 ml Daun jeruk  -  2 lembar Serai, memarkan  -  1 batang Garam  -  secukupnya Gula  -  1 sdt Kaldu ayam bubuk  -  1 sdt Cabai rawit merah, biarkan utuh  -  15 buah Daun bawang, rajang kasir  -  1 batang Minyak goreng  -  2  Bawang merah  -  7 siung Bawang putih  -  3 siung Kemiri  -  2 butir","Cuci bersih tutut, sikat cangkangnya, lalu potong bagian ekornya. Bilas beberapa kali dengan air mengalir sampai bersih.Panaskan minyak, tumis bumbu halus sampai harum. Masukkan daun salam, daun jeruk dan serai, aduk sampai layu.Masukkan tutut yang sudah dibersihkan, aduk rata sambil diaduk sampai terbalut bumbu. Masukkan air lalu masak sampai mendidih.Masukkan cabe rawit merah, beri garam, gula, dan kaldu bubuk. Lanjutkan memasak sampai tutut matang.Masukkan santan, aduk rata, masak sampai mendidih kembali. Taburi daun bawang, angkat dan siap disajikan.Mengingat habitat keong sawah cenderung kotor, Anda harus membersihkan sampai benar-benar bersih agar aman dikonsumsi.","['cabai rawit merah', 'biar', 'daun jeruk', 'santan', 'kaldu ayam bubuk', 'daun bawang', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'tutut']"
20,Resep Bakwan Pontianak,https://resepkoki.id/resep/resep-bakwan-pontianak/," Tepung terigu  -  200 gram Tepung beras  -  40 gram Tepung maizena  -  1 sdm Kaldu ayam bubuk  -  1/2 sdt Merica bubuk  -  1/4 sdt Baking powder  -  1/2 sdt Air es  -  400 ml Santan  -  50 ml Bawang putih, haluskan  -  2 siung Kucai, rajang kasar  -  1 ikat Minyak goreng  -  : Udang rebon  -  2 sdm Teri medan  -  2 sdm Udang  -  secukupnya","Campur rata tepung terigu, tepung beras, tepung maizena, garam, kaldu bubuk, merica bubuk, dan baking powder.Masukkan kucai, bawang putih halus, santan, dan air, aduk sampai tercampur rata. Koreksi rasa dan kekentalannya, adonan tidak terlalu kental tapi juga tidak terlalu ringan.Panaskan minyak yang banyak, rendam sendok bulat di dalam minyak sampai benar-benar panas. Ambil adonan dengan sendok yang lain, tuang ke dalam sendok yang udah dipanaskan, beri topping, lalu celupkan ke dalam minyak panas.Angkat, sajikan dengan saus sambalnya.Buat Sambal: Campur semua bahan, masak sampai cabai matang dan saus mengental, angkat dan biarkan dingin.1. Gunakan wajan yang cekung dan minyak yang banyak, agar sendok berisi adonan bakwan terendam sempurna.","['tepung maizena', 'tepung terigu', 'rebon', 'merica bubuk', 'santan', 'kaldu ayam bubuk', 'udang', 'bawang putih', 'kucai', 'teri medan', 'baking powder', 'tepung beras']"
21,Resep Sambal Colo Colo,https://resepkoki.id/resep/resep-sambal-colo-colo/, Cabai rawit merah  -  8 buah Cabai rawit hijau  -  7 buah Bawang merah  -  5 siung Garam  -  1/2 sdt Gula pasir  -  1/4 sdt Air perasan jeruk nipis  -  1 sdm Air  -  50 ml ,"Iris tipis cabai rawit merah, rawit hijau, dan bawang merah. Potong dadu kecil tomat hijau.Campur rata cabai rawit merah, cabai rawit hijau, bawang merah, tomat hijau, garam, dan gula.Tambahkan air jeruk nipis dan air, campur rata, sajikan.Diamkan sambal selama 15 menit sebelum disajikan, agar rasanya bercampur dengan baik.","['cabai rawit merah', 'bawang merah', 'jeruk nipis', 'cabai rawit hijau']"
22,Resep Sambal Kacang,https://resepkoki.id/resep/resep-sambal-kacang/," Kacang tanah, goreng sampai matang  -  100 gram Bawang putih, goreng utuh  -  2 siung Cabai rawit merah, goreng  -  5 buah Garam  -  secukupnya Gula merah  -  2 sdm Cuka (optional)  -  1 sdt Air panas  -  250 ml ","Haluskan kacang tanah. Lalu tambahkan garam, gula merah, bawang putih, cabai rawit dan cabai merah, haluskan kembali.Seduh dengan air panas, beri cuka jika suka. Aduk rata, koreksi rasanya. Siap disajikan.","['cabai rawit merah', 'kacang tanah', 'cuka', 'bawang putih', 'merah']"
